Ciudad,Comentario,Categoría del problema,Categoria_Numerica,Nuevo Nivel de Urgencia,Fecha del reporte
cartagena,queremos mas presencia policial,Seguridad,3,2,2023 08 30
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 08 22
medellin,faltan medicos en el centro de salud,Salud,1,4,2023 04 27
santa marta,faltan medicos en el centro de salud,Salud,1,1,2024 08 01
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 10 18
santa marta,faltan medicos en el centro de salud,Salud,1,4,2024 02 09
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 06 14
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 04 28
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 04 30
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 05 22
pereira,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 07 20
cucuta,queremos mas presencia policial,Seguridad,3,3,2023 10 14
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 09 26
bogota,falta agua potable en varias casas,Salud,1,1,2023 04 03
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 10 14
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 06 22
manizales,falta agua potable en varias casas,Salud,1,3,2024 06 19
cali,queremos mas presencia policial,Seguridad,3,1,2024 07 26
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 08 31
cartagena,faltan medicos en el centro de salud,Salud,1,1,2024 07 30
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 10 25
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 04 06
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 05 01
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 07 20
bucaramanga,no hay suficientes escuelas publicas,Educación,2,1,2024 10 18
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 11 20
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 06 30
bucaramanga,no hay suficientes escuelas publicas,Educación,2,4,2024 03 04
pereira,no hay suficientes escuelas publicas,Educación,2,4,2024 02 26
cartagena,falta agua potable en varias casas,Salud,1,4,2024 01 12
cali,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 04 14
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 01 23
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 05 26
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 09 30
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 10 14
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 09 25
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 01 22
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 04 13
cucuta,falta agua potable en varias casas,Salud,1,3,2023 04 05
manizales,no hay suficientes escuelas publicas,Educación,2,3,2023 01 04
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 10 22
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 11 04
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 04 13
medellin,queremos mas presencia policial,Seguridad,3,4,2024 10 08
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 01 29
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 07 03
manizales,faltan medicos en el centro de salud,Salud,1,1,2023 09 21
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 06 10
manizales,queremos mas presencia policial,Seguridad,3,1,2023 09 21
manizales,no hay suficientes escuelas publicas,Educación,2,4,2023 05 27
santa marta,queremos mas presencia policial,Seguridad,3,1,2024 09 26
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 06 27
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 07 26
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 07 25
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 07 10
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 02 23
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 07 28
bogota,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 08 09
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 08 12
santa marta,queremos mas presencia policial,Seguridad,3,4,2024 02 21
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 11 02
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 09 15
manizales,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 11 21
,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 03 31
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 03 07
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 08 12
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 07 14
santa marta,faltan medicos en el centro de salud,Salud,1,1,2023 06 10
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 02 24
cartagena,no hay suficientes escuelas publicas,Educación,2,4,2023 07 27
medellin,falta agua potable en varias casas,Salud,1,1,2023 02 03
cartagena,faltan medicos en el centro de salud,Salud,1,1,2024 07 26
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 01 17
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 07 24
pereira,falta agua potable en varias casas,Salud,1,3,2023 08 23
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 12 09
cali,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 11 11
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 08 21
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 08 03
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 07 10
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 11 02
medellin,falta agua potable en varias casas,Salud,1,2,2023 10 05
bogota,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 10 05
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 02 13
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 09 26
cucuta,falta agua potable en varias casas,Salud,1,4,2024 01 01
manizales,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 02 06
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 05 09
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 10 05
medellin,faltan medicos en el centro de salud,Salud,1,3,2023 12 29
cartagena,no hay suficientes escuelas publicas,Educación,2,4,2023 10 18
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 05 02
cartagena,queremos mas presencia policial,Seguridad,3,1,2023 01 31
cali,no hay suficientes escuelas publicas,Educación,2,3,2023 12 12
medellin,faltan medicos en el centro de salud,Salud,1,3,2023 06 02
cali,no hay suficientes escuelas publicas,Educación,2,2,2023 06 28
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 04 04
cartagena,queremos mas presencia policial,Seguridad,3,2,2023 06 12
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 06 06
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 07 27
santa marta,faltan medicos en el centro de salud,Salud,1,4,2024 06 18
santa marta,faltan medicos en el centro de salud,Salud,1,4,2023 01 16
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 08 29
pereira,queremos mas presencia policial,Seguridad,3,4,2024 03 03
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 06 28
cali,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 02 15
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 02 20
cartagena,falta agua potable en varias casas,Salud,1,2,2024 11 26
medellin,queremos mas presencia policial,Seguridad,3,1,2023 03 25
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 06 18
cali,no hay suficientes escuelas publicas,Educación,2,4,2024 10 09
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 04 11
santa marta,falta agua potable en varias casas,Salud,1,3,2024 03 08
bogota,faltan medicos en el centro de salud,Salud,1,4,2024 08 05
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 04 01
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 11 13
medellin,no hay suficientes escuelas publicas,Educación,2,4,2024 04 07
cali,faltan medicos en el centro de salud,Salud,1,4,2023 02 08
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 03 11
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 11 06
pereira,queremos mas presencia policial,Seguridad,3,3,2023 10 06
santa marta,queremos mas presencia policial,Seguridad,3,4,2023 02 02
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 05 09
pereira,queremos mas presencia policial,Seguridad,3,4,2024 09 05
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 10 31
,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 02 10
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 07 19
barranquilla,queremos mas presencia policial,Seguridad,3,3,2024 04 02
barranquilla,no hay suficientes escuelas publicas,Educación,2,4,2023 08 26
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 01 01
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 01 30
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 03 03
bucaramanga,queremos mas presencia policial,Seguridad,3,1,2023 01 26
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 09 30
cucuta,faltan medicos en el centro de salud,Salud,1,3,2023 05 16
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 10 02
,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 08 24
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 11 05
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 01 04
bogota,no hay suficientes escuelas publicas,Educación,2,1,2024 02 15
cali,queremos mas presencia policial,Seguridad,3,1,2023 02 15
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 09 20
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 03 05
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 10 17
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 06 23
manizales,faltan medicos en el centro de salud,Salud,1,3,2023 05 04
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 11 05
bucaramanga,queremos mas presencia policial,Seguridad,3,1,2023 11 17
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 10 09
cucuta,no hay suficientes escuelas publicas,Educación,2,1,2024 07 08
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 05 03
santa marta,faltan medicos en el centro de salud,Salud,1,2,2024 10 12
cali,faltan medicos en el centro de salud,Salud,1,2,2023 02 14
cartagena,falta agua potable en varias casas,Salud,1,1,2024 03 31
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 11 18
cucuta,no hay suficientes escuelas publicas,Educación,2,1,2023 11 27
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 11 04
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 09 12
cucuta,faltan medicos en el centro de salud,Salud,1,4,2023 01 28
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 05 28
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 12 27
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 11 26
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 10 17
barranquilla,falta agua potable en varias casas,Salud,1,3,2023 06 25
cali,no hay suficientes escuelas publicas,Educación,2,4,2023 03 19
pereira,faltan medicos en el centro de salud,Salud,1,2,2024 01 03
pereira,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 08 09
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 11 29
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 06 16
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 02 19
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 10 21
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 09 15
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 06 02
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 10 24
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 06 30
cali,falta agua potable en varias casas,Salud,1,1,2023 02 09
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 04 02
pereira,no hay suficientes escuelas publicas,Educación,2,1,2024 08 28
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 08 21
cali,faltan medicos en el centro de salud,Salud,1,2,2023 05 21
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 02 05
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 02 08
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 01 02
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 12 21
bogota,faltan medicos en el centro de salud,Salud,1,4,2023 04 25
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 11 18
medellin,falta agua potable en varias casas,Salud,1,3,2024 02 02
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 03 15
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 10 18
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 03 02
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 03 28
cali,falta agua potable en varias casas,Salud,1,3,2023 09 17
barranquilla,falta agua potable en varias casas,Salud,1,2,2023 10 05
medellin,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 07 04
pereira,faltan medicos en el centro de salud,Salud,1,1,2024 09 30
barranquilla,queremos mas presencia policial,Seguridad,3,1,2024 01 10
pereira,faltan medicos en el centro de salud,Salud,1,2,2023 08 27
bogota,faltan medicos en el centro de salud,Salud,1,4,2023 01 16
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 05 06
medellin,no hay suficientes escuelas publicas,Educación,2,4,2024 06 10
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 04 18
bogota,no hay suficientes escuelas publicas,Educación,2,2,2023 04 26
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 09 29
,no hay suficientes escuelas publicas,Educación,2,3,2024 05 21
cartagena,no hay suficientes escuelas publicas,Educación,2,3,2023 09 29
manizales,queremos mas presencia policial,Seguridad,3,1,2024 01 29
manizales,no hay suficientes escuelas publicas,Educación,2,3,2023 10 31
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 03 19
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 05 19
santa marta,faltan medicos en el centro de salud,Salud,1,3,2023 09 17
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 08 09
cartagena,queremos mas presencia policial,Seguridad,3,3,2023 05 17
santa marta,faltan medicos en el centro de salud,Salud,1,1,2024 08 13
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 11 04
santa marta,faltan medicos en el centro de salud,Salud,1,4,2024 02 06
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 02 08
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 05 03
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 03 14
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 07 29
,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 08 07
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 11 05
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 02 22
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 06 16
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 04 29
bogota,queremos mas presencia policial,Seguridad,3,1,2024 10 20
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 03 05
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 08 13
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 08 03
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 08 19
